type,package,filename,lazy-1,lazy-2,strict
test,climdex.pcic,test_indices,TRUE,TRUE,TRUE
test,climdex.pcic,test_issue_7,TRUE,TRUE,TRUE
test,climdex.pcic,test_primitives,TRUE,TRUE,TRUE
test,cmprsk,test,TRUE,TRUE,TRUE
test,cobs,0_pt-ex,TRUE,TRUE,TRUE
test,cobs,ex1,TRUE,FALSE,FALSE
test,cobs,ex2-long,TRUE,FALSE,FALSE
test,cobs,ex3,TRUE,FALSE,FALSE
test,cobs,multi-constr,TRUE,TRUE,TRUE
test,cobs,roof,TRUE,FALSE,FALSE
test,cobs,small-ex,TRUE,FALSE,FALSE
test,cobs,spline-ex,TRUE,TRUE,TRUE
test,cobs,temp,TRUE,FALSE,FALSE
test,cobs,wind,TRUE,FALSE,FALSE
test,colorSpec,test-CGATS,TRUE,FALSE,FALSE
test,colorSpec,test-atmos,TRUE,TRUE,TRUE
test,colorSpec,test-bands,TRUE,TRUE,TRUE
test,colorSpec,test-emulate,TRUE,TRUE,TRUE
test,colorSpec,test-inventory,TRUE,TRUE,TRUE
test,colorSpec,test-invert,TRUE,FALSE,FALSE
test,colorSpec,test-optimals,TRUE,TRUE,TRUE
test,colorSpec,test-organization,TRUE,TRUE,TRUE
test,colorSpec,test-product,TRUE,FALSE,FALSE
test,colorSpec,test-read,TRUE,FALSE,FALSE
test,colorSpec,test-sink,TRUE,TRUE,TRUE
test,comat,tinytest,TRUE,FALSE,FALSE
test,compositions,AitchisonTest,TRUE,FALSE,FALSE
test,compositions,CheckGeometry,TRUE,TRUE,TRUE
test,compositions,RobustTest,TRUE,TRUE,TRUE
test,compositions,TestMissing,TRUE,FALSE,FALSE
test,compositions,TestSimp,TRUE,TRUE,TRUE
test,compositions,acheck,TRUE,TRUE,TRUE
test,compositions,geostat,TRUE,TRUE,TRUE
test,compositions,missings,TRUE,TRUE,TRUE
test,compositions,quickcheck,TRUE,TRUE,TRUE
test,coxme,bdstest,TRUE,TRUE,TRUE
test,coxme,brfit,TRUE,TRUE,TRUE
test,coxme,lmekin1,TRUE,TRUE,TRUE
test,coxme,lmekin2,TRUE,TRUE,TRUE
test,coxme,nest1,TRUE,TRUE,TRUE
test,coxme,nest2,TRUE,TRUE,TRUE
test,coxme,refine,TRUE,TRUE,TRUE
test,coxme,refine1,TRUE,TRUE,TRUE
test,coxme,refine2,TRUE,TRUE,TRUE
test,coxme,refine3,TRUE,TRUE,TRUE
test,coxme,shrink,TRUE,TRUE,TRUE
test,coxme,slope1,TRUE,TRUE,TRUE
test,coxme,slope2,TRUE,TRUE,TRUE
test,coxme,slope3,TRUE,TRUE,TRUE
test,coxme,slope4,TRUE,TRUE,TRUE
test,coxme,strata1,TRUE,TRUE,TRUE
test,coxme,test0,TRUE,TRUE,TRUE
test,coxme,test1,TRUE,TRUE,TRUE
test,coxme,test2,TRUE,TRUE,TRUE
test,coxme,test3,TRUE,TRUE,TRUE
test,coxme,test4,TRUE,TRUE,TRUE
test,coxme,twoterm,TRUE,TRUE,TRUE
test,cvTools,test-cvFit-once,TRUE,TRUE,TRUE
test,cvTools,test-cvFit-repeated,TRUE,TRUE,TRUE
test,cvTools,test-cvTool-once,TRUE,TRUE,TRUE
test,cvTools,test-cvTool-repeated,TRUE,TRUE,TRUE
test,cvTools,test-cvTuning-once,TRUE,TRUE,TRUE
test,cvTools,test-cvTuning-repeated,TRUE,TRUE,TRUE
test,datapack,test.ResourceMap,TRUE,TRUE,TRUE
test,datapack,test.SystemMetadata,TRUE,TRUE,TRUE
test,datapack,test_DataObject,TRUE,TRUE,TRUE
test,datapack,test_DataPackage,TRUE,TRUE,TRUE
test,dcmle,dcmle_tests,TRUE,TRUE,TRUE
test,depmixS4,test1speed,TRUE,TRUE,TRUE
test,depmixS4,test2getsetpars,TRUE,TRUE,TRUE
test,depmixS4,test3responses,TRUE,FALSE,FALSE
test,diffobj,test-atomic,TRUE,TRUE,TRUE
test,diffobj,test-banner,TRUE,TRUE,TRUE
test,diffobj,test-capture,TRUE,TRUE,TRUE
test,diffobj,test-check,TRUE,TRUE,TRUE
